fid,woeid,iso,places,foundry
436,34819554,IR,-1,http://www.missionintegers.com/
437,34819556,TM,-1,http://www.missionintegers.com/
440,34819558,IR,-1,http://www.missionintegers.com/
444,34819560,IQ,20,http://www.missionintegers.com/
447,34819562,IR,-1,http://www.missionintegers.com/
449,34819564,IR,20,http://www.missionintegers.com/
450,34819566,IR,20,http://www.missionintegers.com/
455,34819568,IQ,15,http://www.missionintegers.com/
456,34819570,IR,0,http://www.missionintegers.com/
460,34819572,IR,15,http://www.missionintegers.com/
468,34819574,IR,15,http://www.missionintegers.com/
474,34819576,PK,-1,http://www.missionintegers.com/
475,34819578,IR,-1,http://www.missionintegers.com/
476,34819580,IR,-1,http://www.missionintegers.com/
481,34819582,IQ,-1,http://www.missionintegers.com/
482,34819584,IR,-1,http://www.missionintegers.com/
487,34819586,IR,15,http://www.missionintegers.com/
488,34819588,IR,-1,http://www.missionintegers.com/
489,34819590,IR,0,http://www.missionintegers.com/
491,34819592,IR,15,http://www.missionintegers.com/
492,34819594,IR,20,http://www.missionintegers.com/
497,34819596,IR,15,http://www.missionintegers.com/
502,34819598,IR,-1,http://www.missionintegers.com/
503,34819600,IR,15,http://www.missionintegers.com/
526,34819602,IR,0,http://www.missionintegers.com/
530,34819604,AF,-1,http://www.missionintegers.com/
531,34819606,AF,20,http://www.missionintegers.com/
534,34819608,IR,20,http://www.missionintegers.com/
537,34819610,PK,15,http://www.missionintegers.com/
538,34819612,IR,15,http://www.missionintegers.com/
540,34819614,IR,15,http://www.missionintegers.com/
541,34819616,AF,-1,http://www.missionintegers.com/
542,34819618,PK,0,http://www.missionintegers.com/
550,34819620,IN,20,http://www.missionintegers.com/
552,34819622,IQ,-1,http://www.missionintegers.com/
554,34819624,AF,-1,http://www.missionintegers.com/
556,34819626,PK,15,http://www.missionintegers.com/
559,34819628,AF,-1,http://www.missionintegers.com/
560,34819630,IR,20,http://www.missionintegers.com/
561,34819632,IR,-1,http://www.missionintegers.com/
564,34819634,PK,-1,http://www.missionintegers.com/
565,34819636,AF,-1,http://www.missionintegers.com/
566,34819638,PK,0,http://www.missionintegers.com/
568,34819640,IR,0,http://www.missionintegers.com/
570,34819642,PK,-1,http://www.missionintegers.com/
572,34819644,PK,20,http://www.missionintegers.com/
573,34819646,IR,15,http://www.missionintegers.com/
576,34819648,AF,-1,http://www.missionintegers.com/
582,34819650,PK,20,http://www.missionintegers.com/
583,34819652,IQ,-1,http://www.missionintegers.com/
593,34819654,PK,-1,http://www.missionintegers.com/
598,34819656,IQ,20,http://www.missionintegers.com/
600,34819658,PK,15,http://www.missionintegers.com/
601,34819660,IR,15,http://www.missionintegers.com/
605,34819662,PK,15,http://www.missionintegers.com/
620,34819664,PK,15,http://www.missionintegers.com/
621,34819666,PK,15,http://www.missionintegers.com/
622,34819668,PK,-1,http://www.missionintegers.com/
624,34819670,PK,5,http://www.missionintegers.com/
627,34819672,IR,-1,http://www.missionintegers.com/
630,34819674,PK,-1,http://www.missionintegers.com/
632,34819676,PK,-1,http://www.missionintegers.com/
634,34819678,AF,-1,http://www.missionintegers.com/
637,34819680,AF,-1,http://www.missionintegers.com/
638,34819682,PK,20,http://www.missionintegers.com/
644,34819684,PK,15,http://www.missionintegers.com/
647,34819686,IQ,15,http://www.missionintegers.com/
650,34819688,IR,0,http://www.missionintegers.com/
655,34819690,AF,-1,http://www.missionintegers.com/
658,34819692,IN,20,http://www.missionintegers.com/
662,34819694,IQ,15,http://www.missionintegers.com/
663,34819696,PK,15,http://www.missionintegers.com/
665,34819698,PK,-1,http://www.missionintegers.com/
669,34819700,PK,15,http://www.missionintegers.com/
672,34819702,PK,-1,http://www.missionintegers.com/
673,34819704,PK,-1,http://www.missionintegers.com/
677,34819706,IQ,20,http://www.missionintegers.com/
679,34819708,IQ,0,http://www.missionintegers.com/
682,34819710,PK,-1,http://www.missionintegers.com/
684,34819712,PK,20,http://www.missionintegers.com/
687,34819714,IR,-1,http://www.missionintegers.com/
689,34819716,IR,0,http://www.missionintegers.com/
692,34819718,PK,15,http://www.missionintegers.com/
694,34819720,IN,-1,http://www.missionintegers.com/
695,34819722,PK,-1,http://www.missionintegers.com/
696,34819724,PK,-1,http://www.missionintegers.com/
698,34819726,IQ,0,http://www.missionintegers.com/
699,34819728,IN,15,http://www.missionintegers.com/
701,34819730,IR,-1,http://www.missionintegers.com/
703,34819732,IR,-1,http://www.missionintegers.com/
704,34819734,PK,-1,http://www.missionintegers.com/
705,34819736,PK,15,http://www.missionintegers.com/
708,34819738,IR,0,http://www.missionintegers.com/
709,34819740,PK,2,http://www.missionintegers.com/
712,34819742,IR,-1,http://www.missionintegers.com/
717,34819744,PK,20,http://www.missionintegers.com/
718,34819746,PK,15,http://www.missionintegers.com/
719,34819748,IR,15,http://www.missionintegers.com/
721,34819750,PK,20,http://www.missionintegers.com/
725,34819752,PK,15,http://www.missionintegers.com/
726,34819754,IR,15,http://www.missionintegers.com/
728,34819756,IR,0,http://www.missionintegers.com/
738,34819758,PK,15,http://www.missionintegers.com/
740,34819760,IR,-1,http://www.missionintegers.com/
741,34819762,IR,-1,http://www.missionintegers.com/
745,34819764,IQ,20,http://www.missionintegers.com/
750,34819766,IN,15,http://www.missionintegers.com/
752,34819768,IR,15,http://www.missionintegers.com/
754,34819770,IN,-1,http://www.missionintegers.com/
755,34819772,PK,20,http://www.missionintegers.com/
758,34819774,PK,20,http://www.missionintegers.com/
759,34819776,IQ,15,http://www.missionintegers.com/
760,34819778,IN,20,http://www.missionintegers.com/
763,34819780,IR,15,http://www.missionintegers.com/
771,34819782,PK,-1,http://www.missionintegers.com/
772,34819784,IR,-1,http://www.missionintegers.com/
774,34819786,IN,15,http://www.missionintegers.com/
777,34819788,IR,0,http://www.missionintegers.com/
780,34819790,CN,-1,http://www.missionintegers.com/
782,34819792,KZ,-1,http://www.missionintegers.com/
783,34819794,CN,-1,http://www.missionintegers.com/
787,34819796,KG,20,http://www.missionintegers.com/
788,34819798,KZ,15,http://www.missionintegers.com/
790,34819800,UZ,0,http://www.missionintegers.com/
794,34819802,UZ,15,http://www.missionintegers.com/
797,34819804,UZ,0,http://www.missionintegers.com/
799,34819806,TJ,20,http://www.missionintegers.com/
803,34819808,AM,15,http://www.missionintegers.com/
805,34819810,IR,15,http://www.missionintegers.com/
808,34819812,IR,-1,http://www.missionintegers.com/
809,34819814,PK,-1,http://www.missionintegers.com/
811,34819816,IR,20,http://www.missionintegers.com/
812,34819818,PK,-1,http://www.missionintegers.com/
815,34819820,AF,-1,http://www.missionintegers.com/
820,34819822,AF,-1,http://www.missionintegers.com/
822,34819824,RU,20,http://www.missionintegers.com/
823,34819826,UZ,20,http://www.missionintegers.com/
825,34819828,UZ,20,http://www.missionintegers.com/
827,34819830,UZ,20,http://www.missionintegers.com/
832,34819832,IR,20,http://www.missionintegers.com/
835,34819834,LY,15,http://www.missionintegers.com/
837,34819836,LY,15,http://www.missionintegers.com/
840,34819838,NE,20,http://www.missionintegers.com/
841,34819840,NE,20,http://www.missionintegers.com/
842,34819842,TD,20,http://www.missionintegers.com/
844,34819844,SD,20,http://www.missionintegers.com/
845,34819846,NE,20,http://www.missionintegers.com/
847,34819848,NG,20,http://www.missionintegers.com/
849,34819850,NG,-1,http://www.missionintegers.com/
852,34819852,NG,15,http://www.missionintegers.com/
857,34819854,NG,20,http://www.missionintegers.com/
858,34819856,NG,-1,http://www.missionintegers.com/
862,34819858,NG,20,http://www.missionintegers.com/
865,34819860,NG,5,http://www.missionintegers.com/
866,34819862,NG,-1,http://www.missionintegers.com/
868,34819864,NG,20,http://www.missionintegers.com/
871,34819866,NG,-1,http://www.missionintegers.com/
874,34819868,NG,-1,http://www.missionintegers.com/
875,34819870,CM,-1,http://www.missionintegers.com/
876,34819872,NG,20,http://www.missionintegers.com/
879,34819874,TD,20,http://www.missionintegers.com/
880,34819876,TD,-1,http://www.missionintegers.com/
881,34819878,NG,20,http://www.missionintegers.com/
883,34819880,CM,20,http://www.missionintegers.com/
888,34819882,TD,15,http://www.missionintegers.com/
892,34819884,NG,15,http://www.missionintegers.com/
893,34819886,NG,-1,http://www.missionintegers.com/
895,34819888,NG,-1,http://www.missionintegers.com/
897,34819890,NG,15,http://www.missionintegers.com/
899,34819892,NG,-1,http://www.missionintegers.com/
905,34819894,SD,20,http://www.missionintegers.com/
907,34819896,CF,20,http://www.missionintegers.com/
912,34819898,SD,20,http://www.missionintegers.com/
913,34819900,CM,15,http://www.missionintegers.com/
915,34819902,CF,20,http://www.missionintegers.com/
916,34819904,CM,6,http://www.missionintegers.com/
919,34819906,CD,20,http://www.missionintegers.com/
920,34819908,CD,20,http://www.missionintegers.com/
925,34819910,NG,20,http://www.missionintegers.com/
928,34819912,BO,20,http://www.missionintegers.com/
931,34819914,BO,20,http://www.missionintegers.com/
932,34819916,BO,20,http://www.missionintegers.com/
935,34819918,CL,-1,http://www.missionintegers.com/
936,34819920,BO,0,http://www.missionintegers.com/
937,34819922,CL,-1,http://www.missionintegers.com/
940,34819924,CL,0,http://www.missionintegers.com/
947,34819926,AR,20,http://www.missionintegers.com/
950,34819928,AR,20,http://www.missionintegers.com/
960,34819930,AR,20,http://www.missionintegers.com/
963,34819932,AR,20,http://www.missionintegers.com/
971,34819934,AR,0,http://www.missionintegers.com/
973,34819936,AR,20,http://www.missionintegers.com/
977,34819938,AR,20,http://www.missionintegers.com/
981,34819940,AR,0,http://www.missionintegers.com/
983,34819942,AR,20,http://www.missionintegers.com/
990,34819944,AR,0,http://www.missionintegers.com/
992,34819946,AR,20,http://www.missionintegers.com/
993,34819948,AR,0,http://www.missionintegers.com/
994,34819950,AR,0,http://www.missionintegers.com/
997,34819952,AR,0,http://www.missionintegers.com/
1000,34819954,AR,0,http://www.missionintegers.com/
1001,34819956,BO,15,http://www.missionintegers.com/
1007,34819958,CA,20,http://www.missionintegers.com/
1008,34819960,CA,20,http://www.missionintegers.com/
1016,34819962,CA,15,http://www.missionintegers.com/
1019,34819964,CA,1,http://www.missionintegers.com/
1021,34819966,CA,20,http://www.missionintegers.com/
1026,34819968,CA,20,http://www.missionintegers.com/
1029,34819970,CA,20,http://www.missionintegers.com/
1030,34819972,CA,20,http://www.missionintegers.com/
1033,34819974,CA,6,http://www.missionintegers.com/
1034,34819976,CA,1,http://www.missionintegers.com/
1041,34819978,US,20,http://www.missionintegers.com/
1046,34819980,US,15,http://www.missionintegers.com/
1049,34819982,US,20,http://www.missionintegers.com/
1052,34819984,US,20,http://www.missionintegers.com/
1054,34819986,US,5,http://www.missionintegers.com/
1057,34819988,US,20,http://www.missionintegers.com/
1060,34819990,US,20,http://www.missionintegers.com/
1063,34819992,US,2,http://www.missionintegers.com/
1068,34819994,US,20,http://www.missionintegers.com/
1071,34819996,US,15,http://www.missionintegers.com/
1077,34819998,US,20,http://www.missionintegers.com/
1078,34820000,US,20,http://www.missionintegers.com/
1087,34820002,US,2,http://www.missionintegers.com/
1088,34820004,US,5,http://www.missionintegers.com/
1090,34820006,US,20,http://www.missionintegers.com/
1092,34820008,US,6,http://www.missionintegers.com/
1093,34820010,US,-1,http://www.missionintegers.com/
1095,34820012,US,20,http://www.missionintegers.com/
1096,34820014,US,20,http://www.missionintegers.com/
1106,34820016,US,2,http://www.missionintegers.com/
1109,34820018,US,6,http://www.missionintegers.com/
1111,34820020,US,-1,http://www.missionintegers.com/
1115,34820022,US,-1,http://www.missionintegers.com/
1116,34820024,US,20,http://www.missionintegers.com/
1124,34820026,US,-1,http://www.missionintegers.com/
1126,34820028,US,-1,http://www.missionintegers.com/
1127,34820030,US,-1,http://www.missionintegers.com/
1128,34820032,US,15,http://www.missionintegers.com/
1130,34820034,US,-1,http://www.missionintegers.com/
1133,34820036,US,20,http://www.missionintegers.com/
1134,34820038,US,15,http://www.missionintegers.com/
1139,34820040,US,20,http://www.missionintegers.com/
1141,34820042,US,-1,http://www.missionintegers.com/
1143,34820044,US,-1,http://www.missionintegers.com/
1144,34820046,US,-1,http://www.missionintegers.com/
1152,34820048,US,20,http://www.missionintegers.com/
1153,34820050,US,20,http://www.missionintegers.com/
1155,34820052,US,-1,http://www.missionintegers.com/
1157,34820054,US,-1,http://www.missionintegers.com/
1160,34820056,US,15,http://www.missionintegers.com/
1164,34820058,US,20,http://www.missionintegers.com/
1169,34820060,US,15,http://www.missionintegers.com/
1171,34820062,US,-1,http://www.missionintegers.com/
1172,34820064,US,20,http://www.missionintegers.com/
1175,34820066,US,15,http://www.missionintegers.com/
1177,34820068,US,20,http://www.missionintegers.com/
1181,34820070,US,15,http://www.missionintegers.com/
1185,34820072,US,-1,http://www.missionintegers.com/
1187,34820074,US,15,http://www.missionintegers.com/
1190,34820076,US,20,http://www.missionintegers.com/
1191,34820078,US,-1,http://www.missionintegers.com/
1196,34820080,US,-1,http://www.missionintegers.com/
1199,34820082,US,15,http://www.missionintegers.com/
1200,34820084,US,20,http://www.missionintegers.com/
1205,34820086,US,15,http://www.missionintegers.com/
1210,34820088,US,-1,http://www.missionintegers.com/
1220,34820090,US,-1,http://www.missionintegers.com/
1223,34820092,US,20,http://www.missionintegers.com/
1225,34820094,US,20,http://www.missionintegers.com/
1230,34820096,US,20,http://www.missionintegers.com/
1231,34820098,US,6,http://www.missionintegers.com/
1233,34820100,US,15,http://www.missionintegers.com/
1236,34820102,US,20,http://www.missionintegers.com/
1237,34820104,US,20,http://www.missionintegers.com/
1238,34820106,US,20,http://www.missionintegers.com/
1241,34820108,US,15,http://www.missionintegers.com/
1246,34820110,US,15,http://www.missionintegers.com/
1249,34820112,US,15,http://www.missionintegers.com/
1250,34820114,US,15,http://www.missionintegers.com/
1252,34820116,US,15,http://www.missionintegers.com/
1254,34820118,US,15,http://www.missionintegers.com/
1256,34820120,US,5,http://www.missionintegers.com/
1257,34820122,US,15,http://www.missionintegers.com/
1259,34820124,US,15,http://www.missionintegers.com/
1261,34820126,US,-1,http://www.missionintegers.com/
1262,34820128,US,-1,http://www.missionintegers.com/
1263,34820130,US,5,http://www.missionintegers.com/
1266,34820132,US,-1,http://www.missionintegers.com/
1267,34820134,US,-1,http://www.missionintegers.com/
1277,34820136,MX,15,http://www.missionintegers.com/
1280,34820138,MX,15,http://www.missionintegers.com/
1282,34820140,US,20,http://www.missionintegers.com/
1285,34820142,MX,20,http://www.missionintegers.com/
1286,34820144,US,20,http://www.missionintegers.com/
1288,34820146,MX,-1,http://www.missionintegers.com/
1292,34820148,MX,20,http://www.missionintegers.com/
1294,34820150,MX,-1,http://www.missionintegers.com/
1301,34820152,MX,20,http://www.missionintegers.com/
1302,34820154,MX,20,http://www.missionintegers.com/
1303,34820156,MX,20,http://www.missionintegers.com/
1306,34820158,MX,-1,http://www.missionintegers.com/
1307,34820160,MX,20,http://www.missionintegers.com/
1309,34820162,MX,20,http://www.missionintegers.com/
1310,34820164,MX,20,http://www.missionintegers.com/
1311,34820166,MX,-1,http://www.missionintegers.com/
1312,34820168,MX,-1,http://www.missionintegers.com/
1320,34820170,MX,-1,http://www.missionintegers.com/
1325,34820172,MX,20,http://www.missionintegers.com/
1328,34820174,MX,20,http://www.missionintegers.com/
1331,34820176,MX,20,http://www.missionintegers.com/
1333,34820178,MX,15,http://www.missionintegers.com/
1337,34820180,MX,15,http://www.missionintegers.com/
1338,34820182,MX,15,http://www.missionintegers.com/
1347,34820184,MX,20,http://www.missionintegers.com/
1349,34820186,US,20,http://www.missionintegers.com/
1352,34820188,US,-1,http://www.missionintegers.com/
1356,34820190,US,20,http://www.missionintegers.com/
1358,34820192,US,20,http://www.missionintegers.com/
1366,34820194,CA,15,http://www.missionintegers.com/
1371,34820196,US,20,http://www.missionintegers.com/
1372,34820198,CA,0,http://www.missionintegers.com/
1374,34820200,CA,0,http://www.missionintegers.com/
1375,34820202,CA,0,http://www.missionintegers.com/
1385,34820204,US,20,http://www.missionintegers.com/
1390,34820206,US,20,http://www.missionintegers.com/
1394,34820208,CA,15,http://www.missionintegers.com/
1395,34820210,CA,20,http://www.missionintegers.com/
1397,34820212,US,20,http://www.missionintegers.com/
1398,34820214,IS,-1,http://www.missionintegers.com/
1401,34820216,IS,20,http://www.missionintegers.com/
1405,34820218,GB,15,http://www.missionintegers.com/
1409,34820220,GB,15,http://www.missionintegers.com/
1411,34820222,GB,20,http://www.missionintegers.com/
1416,34820224,GB,15,http://www.missionintegers.com/
1423,34820226,GB,15,http://www.missionintegers.com/
1424,34820228,GB,15,http://www.missionintegers.com/
1427,34820230,GB,15,http://www.missionintegers.com/
1428,34820232,GB,20,http://www.missionintegers.com/
1436,34820234,GB,20,http://www.missionintegers.com/
1443,34820236,IE,20,http://www.missionintegers.com/
1449,34820238,GB,15,http://www.missionintegers.com/
1450,34820240,GB,20,http://www.missionintegers.com/
1451,34820242,GB,15,http://www.missionintegers.com/
1455,34820244,GB,15,http://www.missionintegers.com/
1456,34820246,IE,20,http://www.missionintegers.com/
1457,34820248,GB,5,http://www.missionintegers.com/
1458,34820250,GB,15,http://www.missionintegers.com/
1460,34820252,GB,15,http://www.missionintegers.com/
1462,34820254,IE,20,http://www.missionintegers.com/
1469,34820256,GB,5,http://www.missionintegers.com/
1472,34820258,GB,15,http://www.missionintegers.com/
1474,34820260,GB,20,http://www.missionintegers.com/
1476,34820262,GB,15,http://www.missionintegers.com/
1479,34820264,GB,20,http://www.missionintegers.com/
1480,34820266,GB,15,http://www.missionintegers.com/
1481,34820268,GB,20,http://www.missionintegers.com/
1485,34820270,GB,15,http://www.missionintegers.com/
1488,34820272,GB,15,http://www.missionintegers.com/
1489,34820274,GB,5,http://www.missionintegers.com/
1491,34820276,GB,20,http://www.missionintegers.com/
1492,34820278,GB,-1,http://www.missionintegers.com/
1498,34820280,GB,15,http://www.missionintegers.com/
1501,34820282,FR,20,http://www.missionintegers.com/
1503,34820284,FR,15,http://www.missionintegers.com/
1506,34820286,FR,15,http://www.missionintegers.com/
1507,34820288,FR,15,http://www.missionintegers.com/
1510,34820290,FR,15,http://www.missionintegers.com/
1512,34820292,FR,5,http://www.missionintegers.com/
1514,34820294,FR,15,http://www.missionintegers.com/
1515,34820296,GB,15,http://www.missionintegers.com/
1518,34820298,IE,20,http://www.missionintegers.com/
1522,34820300,GB,15,http://www.missionintegers.com/
1527,34820302,CA,6,http://www.missionintegers.com/
1529,34820304,CA,15,http://www.missionintegers.com/
1530,34820306,CA,20,http://www.missionintegers.com/
1531,34820308,CA,20,http://www.missionintegers.com/
1532,34820310,CA,20,http://www.missionintegers.com/
1536,34820312,CA,0,http://www.missionintegers.com/
1537,34820314,CA,20,http://www.missionintegers.com/
1538,34820316,CA,5,http://www.missionintegers.com/
1541,34820318,CA,20,http://www.missionintegers.com/
1545,34820320,CA,20,http://www.missionintegers.com/
1550,34820322,US,15,http://www.missionintegers.com/
1553,34820324,US,20,http://www.missionintegers.com/
1555,34820326,CA,20,http://www.missionintegers.com/
1559,34820328,ES,15,http://www.missionintegers.com/
1561,34820330,ES,15,http://www.missionintegers.com/
1568,34820332,ES,20,http://www.missionintegers.com/
1571,34820334,ES,-1,http://www.missionintegers.com/
1572,34820336,ES,-1,http://www.missionintegers.com/
1582,34820338,ES,1,http://www.missionintegers.com/
1592,34820340,ES,5,http://www.missionintegers.com/
1598,34820342,ES,15,http://www.missionintegers.com/
1599,34820344,ES,20,http://www.missionintegers.com/
1604,34820346,ES,20,http://www.missionintegers.com/
1605,34820348,ES,20,http://www.missionintegers.com/
1609,34820350,MA,20,http://www.missionintegers.com/
1610,34820352,MA,15,http://www.missionintegers.com/
1611,34820354,MA,15,http://www.missionintegers.com/
1612,34820356,DZ,15,http://www.missionintegers.com/
1613,34820358,MA,20,http://www.missionintegers.com/
1614,34820360,MA,15,http://www.missionintegers.com/
1615,34820362,DZ,20,http://www.missionintegers.com/
1616,34820364,MA,20,http://www.missionintegers.com/
1620,34820366,MA,15,http://www.missionintegers.com/
1621,34820368,MA,-1,http://www.missionintegers.com/
1622,34820370,MA,15,http://www.missionintegers.com/
1624,34820372,DZ,20,http://www.missionintegers.com/
1625,34820374,DZ,0,http://www.missionintegers.com/
1628,34820376,DZ,15,http://www.missionintegers.com/
1629,34820378,MA,-1,http://www.missionintegers.com/
1631,34820380,MA,15,http://www.missionintegers.com/
1634,34820382,MA,0,http://www.missionintegers.com/
1640,34820384,MA,20,http://www.missionintegers.com/
1641,34820386,MA,20,http://www.missionintegers.com/
1645,34820388,MA,15,http://www.missionintegers.com/
